======================================== HEX 11 ========================================

### 六爻進程

--- general ---
Advice: 列出你目前最核心的五個社交圈，分析你在每個圈子中所扮演的角色是否一致還是因群體而異到分裂的程度。若差異過大則考慮縮減至三個核心圈，將省下的社交能量投入到一個能讓你展現最真實自我的新社群。
Warning: 人際中最危險的陷阱是為了融入某個渴望加入的圈子而開始模仿其語言、價值觀甚至缺點——這不是跟隨而是失去自我。另一風險是把出門交有功理解為不斷認識新人卻不深入任何關係，你的通訊錄膨脹但沒有一個能在關鍵時刻真正回應你的人。
Basis: ["官有渝貞吉","隨卦人際跟隨","初九陽爻","守核心價值的社群選擇","新環境中的重新認識"]
ScoreAdjust: {"clarity":5,"action":2,"risk":1,"change":3,"support":3,"timing":3}
QualityLevel: gold
Reviewed: true
ReviewedBy: line-category-gold-wave-05
ReviewedAt: 2026-07-14

ID: hex-017-line-1-family
Meaning: 家庭場景中的官有渝指你在家族中的角色會隨著你跟隨哪位長輩或家庭傳統而變化——你可能被期待承襲某位長輩的人生模式。貞吉啟示：對家庭的跟隨必須經過自己理性篩選，不是照單全收家族期望才叫孝順。出門交有功隱喻著適當離開家庭既定框架去經驗外面的世界再回來，你會以更清晰的眼光看待哪些家族價值值得跟隨、哪些需要溫和地重新詮釋。初九陽爻顯示你剛意識到家庭角色是可以選擇而非命定的。
Advice: 與父母或家族中的重要長輩進行一次開放對話：先感謝他們為你鋪設的基礎，接著溫和說明你希望在哪些方面做出跟他們不同的選擇。重點是證明你的選擇經過深思而非衝動叛逆。同時找出家族中一個你真心尊敬非僅因血緣而尊重的長輩價值觀將其作為你也可以跟隨的典範。
Warning: 家庭跟隨的陷阱是為了避免衝突而表面上完全服從家族安排但內心暗自不滿——這種虛假的跟隨會在數年後以更強烈的方式反彈傷害家庭關係。另一個風險是出門太遠太久完全切斷與家庭的聯繫導致失去一個重要的情感支持系統。
Basis: ["官有渝貞吉出門交有功","初九陽爻","家庭角色的理性選擇","家族期待的溫和重新詮釋","出門經驗的回饋力量"]
ScoreAdjust: {"clarity":4,"action":2,"risk":2,"change":4,"support":1,"timing":3}
QualityLevel: gold
Reviewed: true
ReviewedBy: line-category-gold-wave-05
ReviewedAt: 2026-07-14

ID: hex-017-line-1-health
Meaning: 身心狀態中的官有渝意指你的身體角色與健康觀念會隨著你所跟隨的養生方法或健康權威而變化。貞吉的核心提醒是：任何健康跟隨必須以身體真實反應為判斷標準而非盲目跟隨流行飲食或健身潮流。出門交有功轉換為不要只窩在固定運動模式或飲食框架中——適度嘗試不同的運動項目、飲食調整或身心練習，在多元體驗中找到最適合自己體質的長期方案。初九陽爻顯示這是你重新定義與身體關係的起點。本欄不做醫療診斷。
Advice: 檢視目前你正在執行的健康習慣：是基於自己的身體回饋還是因為社群媒體上的健身網紅推薦？若答案偏向後者，則暫停該習慣一週觀察身體的直覺反應。然後諮詢一位持照醫療專業人員而非網路意見領袖，獲得針對你個人體質的建議。
Warning: 最險的健康陷阱是同時跟隨多個互相矛盾的養生體系——一週進行高強度間歇訓練又實行極端斷食還服用多種來路不明的保健品，身體在相互矛盾的信號下功能紊亂。官有渝也警告：不要因為短期的身體變化就斷定某方法有效而急於推薦給他人，每個人的體質跟隨路徑完全不同。
Basis: ["官有渝貞吉","隨卦身心跟隨","初九陽爻","多元體驗尋找適合體質","專業醫療意見優先"]
ScoreAdjust: {"clarity":5,"action":2,"risk":3,"change":3,"support":1,"timing":3}
QualityLevel: gold
Reviewed: true
ReviewedBy: line-category-gold-wave-05
ReviewedAt: 2026-07-14

ID: hex-017-line-1-decision
Meaning: 官有渝在重大決策中的意義是：每個決定都會改變你在此事中的角色定位，所以要謹慎地選擇以什麼立場來做這個決定。貞吉表示任何重大決定都必須建立在不變的核心原則上而非一時的環境波動。出門交有功的決策智慧：不要只在原有資訊圈內做決定，走出去收集更多不同角度的客觀資料，你對問題的理解會在門外獲得意外的擴展。初九陽爻顯示你正處於決策的最初資料收集階段——此時不做最終決定是明智的。
Advice: 針對正在考慮的重大決定，建立一個各方案比較矩陣：縱軸為所有可行方案、橫軸包含短期影響、長期影響、可逆程度、最壞情況應對方案及所需外部資源。先完成矩陣的客觀欄位再填寫直覺評分欄——客觀資料收集完成度須超過七成才進入下一步決策階段。
Warning: 決策陷阱是把出門交有功誤解為需要無止境地收集更多意見才敢決定——資訊的邊際效用遞減，當你開始反覆聽到相同建議時就該停止收集並進入判斷階段。另一風險是官有渝讓你對自己的決定角色失去信心，擔心做了這個決定後自己就不再是原來的那個人而猶豫不決。
Basis: ["官有渝貞吉出門交有功","隨卦決策角色","初九陽爻","比較矩陣的客觀資訊先行","資訊收集的邊際效用"]
ScoreAdjust: {"clarity":5,"action":1,"risk":2,"change":3,"support":2,"timing":2}
QualityLevel: gold
Reviewed: true
ReviewedBy: line-category-gold-wave-05
ReviewedAt: 2026-07-14

ID: hex-017-line-1-business
Meaning: 創業中的官有渝揭示創業者的角色會隨著市場回應與合作夥伴而持續演進——最初你可能以為自己是技術創辦人，但市場拉著你成為行銷主導者，這變化本身是健康的跟隨。貞吉強調創業初期不可追逐每一個市場熱點，你需要一個底層不變的價值主張做為定錨。出門交有功的創業隱喻：正式上線前先做小規模的封閉測試，在有限的外部反饋中修正方向遠比關門研發到完美再一次性公開更有效率。初爻給你的窗口是進行低成本驗證的最佳時機。本欄不做獲利保證。
Advice: 整理你的創業構想中最核心的三個假設，針對每個假設設計一個成本低於一萬元的小型市場測試。測試對象必須是與你無私交的陌生人而非親友團。記錄測試結果後才決定是否調整商業模式方向——未經測試的假設只是願望而非策略。
Warning: 創業者最危險的陷阱是把出門交有功理解為在產品尚未驗證前就大肆對外宣傳募資——過早的注意力會引來模仿者且讓你在投資人面前承諾你無法保證的里程碑。另一個陷阱是官有渝讓你對不斷轉型上癮：市場每有波動就重新定義商業模式使團隊完全失去方向。
Basis: ["官有渝貞吉出門交有功","隨卦震下兌上","初九陽爻","低成本市場測試優先","封閉測試優於公開宣傳"]
ScoreAdjust: {"clarity":5,"action":3,"risk":2,"change":4,"support":1,"timing":3}
QualityLevel: gold
Reviewed: true
ReviewedBy: line-category-gold-wave-05
ReviewedAt: 2026-07-14

ID: hex-017-line-1-legal
Meaning: 官有渝在法律事務中的意思是你在此事中的法律角色與處境會隨著跟隨哪個法律策略或律師意見而變化。貞吉提醒：法律基礎必須建立在堅固的事實與正當權利之上，不可因為某個策略看似捷徑就偏離正道。出門交有功的合約啟示：在做任何法律決定前先諮詢不只一位法律專業人士的意見，不同的律師看到不同的風險層面。初九陽爻顯示你剛進入一個法律關係或爭議的起點階段，此刻掌握了時間與資訊彈性。本欄不做法律結果判定。
Advice: 整理所有與此事相關的文件、通訊紀錄和時間線，建立一個清晰的事實檔案。然後諮詢至少兩位不同事務所的法律專業人士獲取獨立意見，比較他們對同一事件的分析差異。在充分了解後才決定你的法律策略與立場——不要在壓力下被動接受第一個聽到的建議。
Warning: 法律陷阱是為了節省短期費用而依賴非專業人士或網路資源自行判斷法律處境——法律條文的字面解讀無法替代對整體脈絡和判例的理解。另一陷阱是出門交有功的誤用：到處詢問各方意見後選擇聽起來對自己最有利而非最符合法律事實的那個建議。
Basis: ["官有渝貞吉","隨卦法律跟隨","初九陽爻","多方諮詢獨立意見","事實檔案優先於感覺"]
ScoreAdjust: {"clarity":5,"action":1,"risk":3,"change":2,"support":1,"timing":3}
QualityLevel: gold
Reviewed: true
ReviewedBy: line-category-gold-wave-05
ReviewedAt: 2026-07-14

ID: hex-017-line-1-spiritual
Meaning: 官有渝在心境修行中指修行的身份與姿態會跟著所依止的傳承或導師而自然轉化——這個變化不是人格分裂而是意識在不同層次的展開。貞吉的核心教示：修行上的跟隨必須守住不害己不害人的底線，任何要求你違反基本道德直覺的教導都應警覺。出門交有功的修行隱喻：不要只封閉在單一法門或單一上師的教導中，適度接觸不同傳承的智慧可以幫助你辨別哪些是正道而非盲信。初九陽爻顯示你處於靈性探索的開端，保持開放與辨別力的平衡最關鍵。
Advice: 若你正在跟隨某個靈性導師或修行體系，花時間閱讀該體系源頭經典的原始文本而非僅依賴當代詮釋。同時認識至少一位走在不同修行路徑上的真誠實踐者，與對方交換經驗而非辯論對錯。核心是：你的修行根基必須建立在自己的親身體證而非他人的神奇經驗描述。
Warning: 修行陷阱是將出門交有功異化為靈性消費主義——參加每個工作坊、收集每個傳承的灌頂、書架上擺放所有流派經典但從未真正深入任何一門。另一風險是官有渝讓你因跟隨某位導師而完全放棄獨立思考能力，將導師的人性缺陷一同神聖化。
Basis: ["官有渝貞吉出門交有功","隨卦修行跟隨","初九陽爻","開放的辨別力平衡","親身體證優於他人描述"]
ScoreAdjust: {"clarity":4,"action":2,"risk":2,"change":3,"support":3,"timing":4}
QualityLevel: gold
Reviewed: true
ReviewedBy: line-category-gold-wave-05
ReviewedAt: 2026-07-14

--- 第3爻 ---
ID: hex-017-line-3-money
Meaning: 係丈夫失小子在財務中的核心意義是把你的主要資本從零散的小額短期投機（小子）中撤出集中到少數經過長時間研究的優質長期資產（丈夫）。隨有求得的財務隱喻：當你不再被市場每天的噪音干擾而專注於少數真正理解的資產時你反而會看見一般散戶看不見的規律與機會。利居貞的投資智慧：帳面獲利時節制貪婪不因一時的獲利而放大槓桿或頻繁進出——獲利時的穩定性考驗比虧損時更嚴峻。本欄不做獲利保證。
Advice: 對你所有的投資部位進行一次集中度評估：如果你有超過十個以上的投資標的則說明你的資金過度分散難以真正理解每個標的的風險。把標的數壓縮到五至七個核心部位且對每個都能在不看任何外部報告下講出其長期價值邏輯和主要風險來源。
